Unnamed: 0,book_id,cover_image_uri,book_title,book_details,format,publication_info,authorlink,author,num_pages,genres,num_ratings,num_reviews,average_rating,rating_distribution
10,24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388176242i/24.jpg,In a Sunburned Country,"It is the driest, flattest, hottest, most infertile and climatically aggressive of all the inhabited continents, and still Australia teems with life - a large portion of it quite deadly. In fact, Australia has more things that can kill you in a very nasty way than anywhere else.Ignoring such dangers - and yet curiously obsessed by them - Bill Bryson journeyed to Australia and promptly fell in love with the country. And who can blame him? The people are cheerful, extroverted, quick-witted and unfailingly obliging: their cities are safe and clean and nearly always built on water; the food is excellent; the beer is cold and the sun nearly always shines. Life doesn't get much better than this...","['335 pages, Paperback']","['First published January 1, 2000']",https://www.goodreads.com/author/show/7.Bill_Bryson,Bill Bryson,['335'],"['Travel', 'Nonfiction', 'Humor', 'Australia', 'Memoir', 'Audiobook', 'History']",112464,6785,4.08,"{'5': '41,665', '4': '44,994', '3': '20,170', '2': '3,856', '1': '1,779'}"
11,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388184037i/25.jpg,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,"After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children (he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens--as he later put it, ""it was clear my people needed me""). They were greeted by a new and improved America that boasts microwave pancakes, twenty-four-hour dental-floss hotlines, and the staunch conviction that ice is not a luxury item. Delivering the brilliant comic musings that are a Bryson hallmark, I'm a Stranger Here Myself recounts his sometimes disconcerting reunion with the land of his birth. The result is a book filled with hysterical scenes of one man's attempt to reacquaint himself with his own country, but it is also an extended if at times bemused love letter to the homeland he has returned to after twenty years away.","['304 pages, Paperback']","['First published January 1, 1998']",https://www.goodreads.com/author/show/7.Bill_Bryson,Bill Bryson,['304'],"['Nonfiction', 'Travel', 'Humor', 'Memoir', 'Essays', 'Biography', 'Audiobook']",66863,3296,3.9,"{'5': '19,501', '4': '26,720', '3': '16,204', '2': '3,284', '1': '1,154'}"
12,26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404042682i/26.jpg,The Lost Continent: Travels in Small-Town America,"'I come from Des Moines. Somebody had to'And, as soon as Bill Bryson was old enough, he left. Des Moines couldn't hold him, but it did lure him back. After ten years in England, he returned to the land of his youth, and drove almost 14,000 miles in search of a mythical small town called Amalgam, the kind of trim and sunny place where the films of his youth were set. Instead, his search led him to Anywhere, USA; a lookalike strip of gas stations, motels and hamburger outlets populated by lookalike people with a penchant for synthetic fibres. Travelling around thirty-eight of the lower states - united only in their mind-numbingly dreary uniformity - he discovered a continent that was doubly lost; lost to itself because blighted by greed, pollution, mobile homes and television; lost to him because he had become a stranger in his own land.The Lost Continent is a classic of travel literature - hilariously, stomach-achingly funny, yet tinged with heartache - and the book that first staked Bill Bryson's claim as the most beloved writer of his generation.","['299 pages, Paperback']","['First published August 1, 1989']",https://www.goodreads.com/author/show/7.Bill_Bryson,Bill Bryson,['299'],"['Travel', 'Nonfiction', 'Humor', 'Memoir', 'Audiobook', 'American', 'Biography']",61418,3453,3.81,"{'5': '17,653', '4': '22,706', '3': '14,783', '2': '4,252', '1': '2,024'}"
13,27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388187396i/27.jpg,Neither Here nor There: Travels in Europe,"Bill Bryson's first travel book, The Lost Continent, was unanimously acclaimed as one of the funniest books in years. In Neither Here nor There he brings his unique brand of humour to bear on Europe as he shoulders his backpack, keeps a tight hold on his wallet, and journeys from Hammerfest, the northernmost town on the continent, to Istanbul on the cusp of Asia. Fluent in, oh, at least one language, he retraces his travels as a student twenty years before.Whether braving the homicidal motorist of Paris, being robbed by gypsies in Florence, attempting not to order tripe and eyeballs in a German restaurant, window-shopping in the sex shops of the Reeperbahn or disputing his hotel bill in Copenhagen, Bryson takes in the sights, dissects the culture and illuminates each place and person with his hilariously caustic observations. He even goes to Liechtenstein.","['254 pages, Paperback']","['First published January 1, 1991']",https://www.goodreads.com/author/show/7.Bill_Bryson,Bill Bryson,['254'],"['Travel', 'Nonfiction', 'Humor', 'Memoir', 'Biography', 'Audiobook', 'Travelogue']",74848,3563,3.86,"{'5': '23,074', '4': '27,146', '3': '17,536', '2': '4,892', '1': '2,200'}"
14,28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479653223i/28.jpg,Notes from a Small Island,"""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it.""After nearly two decades spent on British soil, Bill Bryson - bestselling author of The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home.Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile.","['324 pages, Paperback']","['First published January 1, 1995']",https://www.goodreads.com/author/show/7.Bill_Bryson,Bill Bryson,['324'],"['Travel', 'Nonfiction', 'Humor', 'Memoir', 'British Literature', 'Biography', 'Audiobook']",113014,5231,3.91,"{'5': '35,320', '4': '43,346', '3': '25,852', '2': '6,214', '1': '2,282'}"
15,29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388209925i/29.jpg,The Mother Tongue: English and How It Got That Way,"Only Bill Bryson could make a book about the English language so entertaining. With his boundless enthusiasm and restless eye for the absurd, this is his astonishing tour of English.From its mongrel origins to its status as the world's most-spoken tongue; its apparent simplicity to its deceptive complexity; its vibrant swearing to its uncertain spelling and pronunciation; Bryson covers all this as well as the many curious eccentricities that make it as maddening to learn as it is flexible to use.Bill Bryson's classic Mother Tongue is a highly readable and hilarious tale of how English came to be the world's language.","['270 pages, Paperback']","['First published January 1, 1990']",https://www.goodreads.com/author/show/7.Bill_Bryson,Bill Bryson,['270'],"['Nonfiction', 'History', 'Language', 'Linguistics', 'Humor', 'Audiobook', 'Writing']",41853,3293,3.91,"{'5': '12,449', '4': '16,769', '3': '9,708', '2': '2,245', '1': '682'}"
16,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30.jpg,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings (The Fellowship of the Ring, The Two Towers, and The Return of the King).In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon.The Lord of the Rings tells of the great quest undertaken by Frodo Baggins and the Fellowship of the Ring: Gandalf the wizard; the hobbits Merry, Pippin, and Sam; Gimli the dwarf; Legolas the elf; Boromir of Gondor; and a tall, mysterious stranger called Strider. J.R.R. Tolkien's three volume masterpiece is at once a classic myth and a modern fairy tale—a story of high and heroic adventure set in the unforgettable landscape of Middle-earth","['1728 pages, Mass Market Paperback']","['First published January 1, 1954']",https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,J.R.R. Tolkien,['1728'],"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']",134077,2272,4.61,"{'5': '96,399', '4': '27,073', '3': '7,686', '2': '1,759', '1': '1,160'}"
17,33,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33.jpg,The Lord of the Rings,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell by chance into the hands of the hobbit Bilbo Baggins.From Sauron's fastness in the Dark Tower of Mordor, his power spread far and wide. Sauron gathered all the Great Rings to him, but always he searched for the One Ring that would complete his dominion.When Bilbo reached his eleventy-first birthday he disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest: to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom.The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard; the hobbits Merry, Pippin, and Sam; Gimli the Dwarf; Legolas the Elf; Boromir of Gondor; and a tall, mysterious stranger called Strider.","['1216 pages, Paperback']","['First published January 1, 1954']",https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,J.R.R. Tolkien,['1216'],"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy']",678852,14725,4.53,"{'5': '456,379', '4': '151,211', '3': '51,345', '2': '13,070', '1': '6,847'}"
18,34,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298411339i/34.jpg,The Fellowship of the Ring,"Alternate Cover Edition ISBN 0618260269 (copyright page ISBN is 0618346252 - different from back cover)One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.--back cover","['398 pages, Paperback']","['First published July 29, 1954']",https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,J.R.R. Tolkien,['398'],"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']",2819586,40280,4.39,"{'5': '1,688,264', '4': '724,398', '3': '280,186', '2': '75,295', '1': '51,443'}"
19,50,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385297074i/50.jpg,Hatchet,"Brian is on his way to Canada to visit his estranged father when the pilot of his small prop plane suffers a heart attack. Brian is forced to crash-land the plane in a lake--and finds himself stranded in the remote Canadian wilderness with only his clothing and the hatchet his mother gave him as a present before his departure. Brian had been distraught over his parents' impending divorce and the secret he carries about his mother, but now he is truly desolate and alone. Exhausted, terrified, and hungry, Brian struggles to find food and make a shelter for himself. He has no special knowledge of the woods, and he must find a new kind of awareness and patience as he meets each day's challenges. Is the water safe to drink? Are the berries he finds poisonous? Slowly, Brian learns to turn adversity to his advantage--an invading porcupine unexpectedly shows him how to make fire, a devastating tornado shows him how to retrieve supplies from the submerged airplane. Most of all, Brian leaves behind the self-pity he has felt about his predicament as he summons the courage to stay alive. A story of survival and of transformation, this riveting book has sparked many a reader's interest in venturing into the wild.","['208 pages, Hardcover']","['First published September 30, 1987']",https://www.goodreads.com/author/show/18.Gary_Paulsen,Gary Paulsen,['208'],"['Fiction', 'Young Adult', 'Classics', 'Adventure', 'Middle Grade', 'Survival', 'Childrens']",395109,18479,3.78,"{'5': '123,258', '4': '127,730', '3': '93,992', '2': '32,871', '1': '17,258'}"
20,58,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309282978i/58.jpg,Changeling,"Neef is a changeling, a human baby stolen by fairies and replaced with one of their own. She lives in ""New York Between,"" a Manhattan alongside our own, home to creatures of folklore. Protected by her fairy godmother until she breaks a Fairy Law, now she must face the challenge of the Green Lady of Central Park or be sacrificed! Neef is determined, but time is running out.","['256 pages, Hardcover']","['First published August 17, 2006']",https://www.goodreads.com/author/show/24.Delia_Sherman,Delia Sherman,['256'],"['Fantasy', 'Young Adult', 'Urban Fantasy', 'Fiction', 'Fairies', 'Middle Grade', 'Childrens']",1085,126,3.59,"{'5': '232', '4': '356', '3': '351', '2': '107', '1': '39'}"
21,61,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386923583i/61.jpg,The Changeling,"Ivy Carson belonged to the notorious Carson family, which lived in a run-down house in suburban Rosewood. But Ivy was not a typical Carson. There was something wonderful about her. Ivy explained it by saying that she was a changeling, a child of supernatural parents who had been exchanged for the real Ivy Carson at birth. This classic book was first published in 1970. It was awarded a Christopher Medal and named an outstanding book for young people by the Junior Library Guild.","['220 pages, Paperback']","['First published January 1, 1970']",https://www.goodreads.com/author/show/27.Zilpha_Keatley_Snyder,Zilpha Keatley Snyder,['220'],"['Fiction', 'Young Adult', 'Fantasy', 'Childrens', 'Middle Grade', 'Juvenile', 'Coming Of Age']",1510,157,4.18,"{'5': '687', '4': '488', '3': '267', '2': '51', '1': '17'}"
22,67,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1538134660i/67.jpg,The Known World,"One of the most acclaimed novels in recent memory, The Known World is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones.The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities.","['388 pages, Paperback']","['First published September 1, 2003']",https://www.goodreads.com/author/show/33.Edward_P_Jones,Edward P. Jones,['388'],"['Fiction', 'Historical Fiction', 'African American', 'Historical', 'Literary Fiction', 'Literature', 'Novels']",41387,3656,3.83,"{'5': '12,428', '4': '15,160', '3': '9,441', '2': '3,072', '1': '1,286'}"
23,79,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1671459571i/79.jpg,Coming Into the Country,"This is the story of Alaska and the Alaskans. Written with a vividness and clarity which shifts scenes frequently, and yet manages to tie the work into a rewarding whole, McPhee segues from the wilderness to life in urban Alaska to the remote bush country.","['438 pages, Paperback']","['First published January 1, 1977']",https://www.goodreads.com/author/show/40.John_McPhee,John McPhee,['438'],"['Nonfiction', 'Travel', 'Nature', 'History', 'Science', 'Adventure', 'Environment']",7126,403,4.21,"{'5': '3,127', '4': '2,711', '3': '1,042', '2': '178', '1': '68'}"
24,93,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388462714i/93.jpg,Heidi,"Little orphan Heidi goes to live high in the Alps with her gruff grandfather and brings happiness to all who know her on the mountain. When Heidi goes to Frankfurt to work in a wealthy household, she dreams of returning to the mountains and meadows, her friend Peter, and her beloved grandfather.","['352 pages, Paperback']","['First published January 1, 1880']",https://www.goodreads.com/author/show/49.Johanna_Spyri,Johanna Spyri,['352'],"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical']",199998,6263,4.03,"{'5': '77,019', '4': '66,198', '3': '44,513', '2': '9,672', '1': '2,596'}"
25,105,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1559833930i/105.jpg,Chapterhouse: Dune,"Alternate Cover Edition of ISBN 0441102670.The desert planet Arrakis, called Dune, has been destroyed. Now, the Bene Gesserit, heirs to Dune's power, have colonized a green world--and are turning it into a desert, mile by scorched mile.Here is the last book Frank Herbert wrote before his death. A stunning climax to the epic Dune legend that will live on forever...","['436 pages, Mass Market Paperback']","['First published April 1, 1985']",https://www.goodreads.com/author/show/58.Frank_Herbert,Frank Herbert,['436'],"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Classics', 'Space Opera', 'Audiobook']",68582,2294,3.9,"{'5': '22,453', '4': '23,708', '3': '16,495', '2': '4,619', '1': '1,307'}"
26,112,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391051267i/112.jpg,Children of Dune,"The desert planet of Arrakis has begun to grow green and lush. The life-giving spice is abundant. The nine-year-old royal twins, possesing their father's supernatural powers, are being groomed as Messiahs.But there are those who think the Imperium does not need messiahs...","['408 pages, Mass Market Paperback']","['First published April 1, 1976']",https://www.goodreads.com/author/show/58.Frank_Herbert,Frank Herbert,['408'],"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Classics', 'Space Opera', 'Audiobook']",192872,8379,3.96,"{'5': '59,931', '4': '77,705', '3': '44,448', '2': '9,038', '1': '1,750'}"
27,117,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388186151i/117.jpg,Heretics of Dune,"Book Five in the Magnificent Dune Chronicles—the Bestselling Science Fiction Adventure of All TimeLeto Atreides, the God Emperor of Dune, is dead. In the fifteen hundred years since his passing, the Empire has fallen into ruin. The great Scattering saw millions abandon the crumbling civilization and spread out beyond the reaches of known space. The planet Arrakis—now called Rakis—has reverted to its desert climate, and its great sandworms are dying.Now the Lost Ones are returning home in pursuit of power. And as these factions vie for control over the remnants of the Empire, a girl named Sheeana rises to prominence in the wastelands of Rakis, sending religious fervor throughout the galaxy. For she possesses the abilities of the Fremen sandriders—fulfilling a prophecy foretold by the late God Emperor....","['471 pages, Mass Market Paperback']","['First published April 1, 1984']",https://www.goodreads.com/author/show/58.Frank_Herbert,Frank Herbert,['471'],"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Classics', 'Space Opera', 'Audiobook']",83194,2836,3.87,"{'5': '25,138', '4': '30,146', '3': '21,097', '2': '5,511', '1': '1,302'}"
